Job_Id,Company,Company_id,Founded_In,Emp_count,Skills
1827,"Lumen Technologies",50006,1968,"More than 1000 employees","Java"
1882,"Lumen Technologies",50006,1968,"More than 1000 employees","Java"
1909,"GlobalLogic",50011,2000,"More than 1000 employees","Java"
1049,"Verizon Communications",50034,1983,"More than 1000 employees","Java"
1311,"Verizon Communications",50034,1983,"More than 1000 employees","Java"
1658,"Verizon Communications",50034,1983,"More than 1000 employees","Java"
1964,"Verizon Communications",50034,1983,"More than 1000 employees","Java"
1145,"Walmart Global Tech India",50035,1962,"More than 1000 employees","Java"
1184,"Walmart Global Tech India",50035,1962,"More than 1000 employees","Java"
1057,"Freshworks",50040,2010,"More than 1000 employees","Java"
1449,"Angel One",50043,1987,"More than 1000 employees","Java"
1948,"Angel One",50043,1987,"More than 1000 employees","Java"
1128,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
1158,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
1511,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
1521,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
1700,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
1738,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
1824,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
1832,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
1979,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
1990,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
2007,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
2027,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
1098,"Anand Rathi Shares and Stock Brokers",50071,1994,"More than 1000 employees","Java"
1166,"Hy-Vee",50074,1930,"More than 1000 employees","Java"
1167,"Hy-Vee",50074,1930,"More than 1000 employees","Java"
1772,"LTIMindtree",50075,1996,"More than 1000 employees","Java"
1781,"LTIMindtree",50075,1996,"More than 1000 employees","Java"
1245,"Advanced Business and Healthcare India",50081,2010,"More than 1000 employees","Java"
1569,"Advanced Business and Healthcare India",50081,2010,"More than 1000 employees","Java"
1115,"Paypal",50086,1998,"More than 1000 employees","Java"
1974,"Paypal",50086,1998,"More than 1000 employees","Java"
1923,"NinjaCart",50093,2015,"More than 1000 employees","Java"
1126,"Confluent",50096,2014,"More than 1000 employees","Java"
1134,"Uber",50101,2009,"More than 1000 employees","Java"
1382,"Uber",50101,2009,"More than 1000 employees","Java"
1668,"Uber",50101,2009,"More than 1000 employees","Java"
2014,"Uber",50101,2009,"More than 1000 employees","Java"
1351,"VMware",50109,1998,"More than 1000 employees","Java"
1352,"VMware",50109,1998,"More than 1000 employees","Java"
1161,"Prudential Corporation Asia",50118,1900,"More than 1000 employees","Java"
1334,"Viacom18",50120,2007,"More than 1000 employees","Java"
1175,"Atlassian",50127,2002,"More than 1000 employees","Java"
1177,"Flatworld Solutions",50129,2002,"More than 1000 employees","Java"
1630,"Flatworld Solutions",50129,2002,"More than 1000 employees","Java"
1711,"Flatworld Solutions",50129,2002,"More than 1000 employees","Java"
1211,"SLK",50150,2000,"More than 1000 employees","Java"
1720,"Delhivery",50173,2011,"More than 1000 employees","Java"
1272,"Onward Technologies",50196,1991,"More than 1000 employees","Java"
1285,"7-Eleven",50199,1927,"More than 1000 employees","Java"
1325,"Allen Career Institute",50200,1988,"More than 1000 employees","Java"
1753,"Allen Career Institute",50200,1988,"More than 1000 employees","Java"
1317,"Deloitte",50210,1845,"More than 1000 employees","Java"
1462,"Infosys",50227,1981,"More than 1000 employees","Java"
1493,"Infosys",50227,1981,"More than 1000 employees","Java"
1388,"Nab",50250,1981,"More than 1000 employees","Java"
1903,"Nab",50250,1981,"More than 1000 employees","Java"
1961,"PhonePe",50266,2015,"More than 1000 employees","Java"
1426,"Clear",50268,2011,"More than 1000 employees","Java"
1792,"Google",50275,1998,"More than 1000 employees","Java"
1798,"Google",50275,1998,"More than 1000 employees","Java"
1799,"Google",50275,1998,"More than 1000 employees","Java"
1506,"Motherson Sumi Systems",50310,1986,"More than 1000 employees","Java"
1516,"Motherson Sumi Systems",50310,1986,"More than 1000 employees","Java"
1560,"Citi",50341,1900,"More than 1000 employees","Java"
1638,"Wayfair",50375,2002,"More than 1000 employees","Java"
1639,"Ashok Leyland",50376,1948,"More than 1000 employees","Java"
1710,"Ashok Leyland",50376,1948,"More than 1000 employees","Java"
1719,"D. E. Shaw",50405,1988,"More than 1000 employees","Java"
1879,"D. E. Shaw",50405,1988,"More than 1000 employees","Java"
1789,"Applied Materials",50427,1967,"More than 1000 employees","Java"
1838,"Avis Budget Group",50444,1946,"More than 1000 employees","Java"
1978,"Avis Budget Group",50444,1946,"More than 1000 employees","Java"
2008,"Flipkart",50457,2007,"More than 1000 employees","Java"
1891,"Lowe's",50470,1921,"More than 1000 employees","Java"
1892,"Lowe's",50470,1921,"More than 1000 employees","Java"
1898,"DP World",50474,2005,"More than 1000 employees","Java"
1934,"Houghton Mifflin Harcourt",50484,1880,"More than 1000 employees","Java"
1956,"Sprinklr",50492,2009,"More than 1000 employees","Java"
2000,"Planet",50511,1985,"More than 1000 employees","Java"
2001,"Planet",50511,1985,"More than 1000 employees","Java"
2036,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
2039,"Rakuten",50181,1997,"More than 1000 employees","Java"
2045,"Atlassian",50127,2002,"More than 1000 employees","Java"
2046,"Atos",50531,1997,"More than 1000 employees","Java"
2058,"GlobalLogic",50011,2000,"More than 1000 employees","Java"
2066,"Atlassian",50127,2002,"More than 1000 employees","Java"
2069,"Nab",50250,1981,"More than 1000 employees","Java"
2100,"Verizon Communications",50034,1983,"More than 1000 employees","Java"
2101,"Verizon Communications",50034,1983,"More than 1000 employees","Java"
2105,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
2110,"Rebel Foods (Faasos)",50557,2010,"More than 1000 employees","Java"
2115,"D. E. Shaw",50405,1988,"More than 1000 employees","Java"
2126,"D. E. Shaw",50405,1988,"More than 1000 employees","Java"
2133,"Walmart Global Tech India",50035,1962,"More than 1000 employees","Java"
2139,"Nihilent",50567,2000,"More than 1000 employees","Java"
2156,"Cars24",50574,2015,"More than 1000 employees","Java"
2157,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
2164,"Expedia",50577,1996,"More than 1000 employees","Java"
2166,"GlobalLogic",50011,2000,"More than 1000 employees","Java"
2186,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
2193,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
2202,"7-Eleven",50199,1927,"More than 1000 employees","Java"
2207,"InMobi",50178,2007,"More than 1000 employees","Java"
2212,"Advanced Business and Healthcare India",50081,2010,"More than 1000 employees","Java"
2234,"Deutsche Bank",50602,1900,"More than 1000 employees","Java"
2239,"PhonePe",50266,2015,"More than 1000 employees","Java"
2241,"Sprinklr",50492,2009,"More than 1000 employees","Java"
2242,"Atlassian",50127,2002,"More than 1000 employees","Java"
2246,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
2252,"Adobe",50609,1982,"More than 1000 employees","Java"
2257,"GlobalLogic",50011,2000,"More than 1000 employees","Java"
2277,"Lenskart.com",50158,2008,"More than 1000 employees","Java"
2282,"Advanced Business and Healthcare India",50081,2010,"More than 1000 employees","Java"
2290,"Walmart Global Tech India",50035,1962,"More than 1000 employees","Java"
2298,"Lululemon",50514,1998,"More than 1000 employees","Java"
2304,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
2308,"LinkedIn",50630,2002,"More than 1000 employees","Java"
2312,"Bajaj Finserv",50445,2007,"More than 1000 employees","Java"
2342,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
2364,"Paypal",50086,1998,"More than 1000 employees","Java"
2365,"Synechron",50649,2001,"More than 1000 employees","Java"
2409,"GlobalLogic",50011,2000,"More than 1000 employees","Java"
2424,"Nihilent",50567,2000,"More than 1000 employees","Java"
2427,"Beyondsoft",50674,1995,"More than 1000 employees","Java"
2433,"Uber",50101,2009,"More than 1000 employees","Java"
2450,"JP Morgan",50680,1900,"More than 1000 employees","Java"
2460,"JP Morgan",50680,1900,"More than 1000 employees","Java"
2468,"Nov",50687,1841,"More than 1000 employees","Java"
2476,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
2492,"slice",50647,2016,"More than 1000 employees","Java"
2501,"slice",50647,2016,"More than 1000 employees","Java"
2502,"slice",50647,2016,"More than 1000 employees","Java"
2524,"Cure.Fit",50172,2016,"More than 1000 employees","Java"
2527,"NIUM",50112,2015,"More than 1000 employees","Java"
2546,"JP Morgan",50680,1900,"More than 1000 employees","Java"
2550,"Verizon Communications",50034,1983,"More than 1000 employees","Java"
2559,"mPokket",50537,2016,"More than 1000 employees","Java"
2564,"DAZN",50257,2007,"More than 1000 employees","Java"
2565,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
2582,"Uber",50101,2009,"More than 1000 employees","Java"
2587,"D. E. Shaw",50405,1988,"More than 1000 employees","Java"
2589,"Rakuten",50181,1997,"More than 1000 employees","Java"
2591,"Walmart Global Tech India",50035,1962,"More than 1000 employees","Java"
2593,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
2601,"Uber",50101,2009,"More than 1000 employees","Java"
2602,"Verizon Communications",50034,1983,"More than 1000 employees","Java"
2606,"Pegasystems",50730,1983,"More than 1000 employees","Java"
2608,"Pegasystems",50730,1983,"More than 1000 employees","Java"
2610,"VMware",50109,1998,"More than 1000 employees","Java"
2621,"Uber",50101,2009,"More than 1000 employees","Java"
2635,"Fanatics",50736,2002,"More than 1000 employees","Java"
2636,"Fanatics",50736,2002,"More than 1000 employees","Java"
2641,"Zycus",50738,1998,"More than 1000 employees","Java"
2643,"Akkodis",50740,1984,"More than 1000 employees","Java"
2646,"Hy-Vee",50074,1930,"More than 1000 employees","Java"
2651,"Prudential Corporation Asia",50118,1900,"More than 1000 employees","Java"
2654,"Hy-Vee",50074,1930,"More than 1000 employees","Java"
2673,"DAZN",50257,2007,"More than 1000 employees","Java"
2682,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
2683,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
2693,"Cure.Fit",50172,2016,"More than 1000 employees","Java"
2696,"Mashreq Bank",50144,1967,"More than 1000 employees","Java"
2699,"Rakuten",50181,1997,"More than 1000 employees","Java"
2711,"Wayfair",50375,2002,"More than 1000 employees","Java"
2715,"JP Morgan",50680,1900,"More than 1000 employees","Java"
2727,"Nab",50250,1981,"More than 1000 employees","Java"
2729,"Rakuten",50181,1997,"More than 1000 employees","Java"
2738,"Uber",50101,2009,"More than 1000 employees","Java"
2756,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
2785,"Mashreq Bank",50144,1967,"More than 1000 employees","Java"
2786,"Mashreq Bank",50144,1967,"More than 1000 employees","Java"
2790,"D. E. Shaw",50405,1988,"More than 1000 employees","Java"
2806,"Pegasystems",50730,1983,"More than 1000 employees","Java"
2829,"Captain Fresh",50800,2019,"More than 1000 employees","Java"
2836,"Verizon Communications",50034,1983,"More than 1000 employees","Java"
2837,"Verizon Communications",50034,1983,"More than 1000 employees","Java"
2858,"Walmart Global Tech India",50035,1962,"More than 1000 employees","Java"
2866,"Walmart Global Tech India",50035,1962,"More than 1000 employees","Java"
2869,"BankBazaar.com",50691,2008,"More than 1000 employees","Java"
2888,"Verizon Communications",50034,1983,"More than 1000 employees","Java"
2889,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
2936,"Walmart Global Tech India",50035,1962,"More than 1000 employees","Java"
2937,"Walmart Global Tech India",50035,1962,"More than 1000 employees","Java"
2938,"Walmart Global Tech India",50035,1962,"More than 1000 employees","Java"
2943,"GlobalLogic",50011,2000,"More than 1000 employees","Java"
2947,"Verizon Communications",50034,1983,"More than 1000 employees","Java"
2951,"Happiest Minds Technologies",50575,2011,"More than 1000 employees","Java"
2953,"Mashreq Bank",50144,1967,"More than 1000 employees","Java"
2980,"Blue Yonder",50340,1985,"More than 1000 employees","Java"
2988,"Walmart Global Tech India",50035,1962,"More than 1000 employees","Java"
2991,"Confluent",50096,2014,"More than 1000 employees","Java"
3022,"Iron Mountain",50864,1951,"More than 1000 employees","Java"
3027,"Stanza Living",50396,2017,"More than 1000 employees","Java"
3042,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
3043,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
3045,"Freshworks",50040,2010,"More than 1000 employees","Java"
3071,"Cohesity",50849,2013,"More than 1000 employees","Java"
3076,"Uber",50101,2009,"More than 1000 employees","Java"
3077,"Uber",50101,2009,"More than 1000 employees","Java"
3081,"Google",50275,1998,"More than 1000 employees","Java"
3096,"Walmart Global Tech India",50035,1962,"More than 1000 employees","Java"
3106,"Verizon Communications",50034,1983,"More than 1000 employees","Java"
3107,"Angel One",50043,1987,"More than 1000 employees","Java"
3143,"Rakuten",50181,1997,"More than 1000 employees","Java"
3162,"MOURI Tech",50771,2005,"More than 1000 employees","Java"
3179,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
3203,"Nab",50250,1981,"More than 1000 employees","Java"
3205,"Paypal",50086,1998,"More than 1000 employees","Java"
3227,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
3232,"Walmart Global Tech India",50035,1962,"More than 1000 employees","Java"
3233,"Walmart Global Tech India",50035,1962,"More than 1000 employees","Java"
3237,"BankBazaar.com",50691,2008,"More than 1000 employees","Java"
3240,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
3285,"Uber",50101,2009,"More than 1000 employees","Java"
3289,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
3308,"Adobe",50609,1982,"More than 1000 employees","Java"
3315,"Rakuten",50181,1997,"More than 1000 employees","Java"
3331,"D. E. Shaw",50405,1988,"More than 1000 employees","Java"
3335,"Wayfair",50375,2002,"More than 1000 employees","Java"
3336,"Wayfair",50375,2002,"More than 1000 employees","Java"
3356,"Walmart Global Tech India",50035,1962,"More than 1000 employees","Java"
3368,"Jio Platforms Limited",50810,2019,"More than 1000 employees","Java"
3371,"Paytm",50167,2000,"More than 1000 employees","Java"
3380,"Freshworks",50040,2010,"More than 1000 employees","Java"
3396,"Zepto",50188,2021,"More than 1000 employees","Java"
3407,"GlobalLogic",50011,2000,"More than 1000 employees","Java"
3419,"Deutsche Bank",50602,1900,"More than 1000 employees","Java"
3443,"Infosys",50227,1981,"More than 1000 employees","Java"
3457,"Avis Budget Group",50444,1946,"More than 1000 employees","Java"
3466,"Deutsche Bank",50602,1900,"More than 1000 employees","Java"
3469,"One Muthoot",50263,2016,"More than 1000 employees","Java"
3471,"One Muthoot",50263,2016,"More than 1000 employees","Java"
3473,"Flatworld Solutions",50129,2002,"More than 1000 employees","Java"
3475,"Avis Budget Group",50444,1946,"More than 1000 employees","Java"
3480,"Rakuten",50181,1997,"More than 1000 employees","Java"
3483,"Delhivery",50173,2011,"More than 1000 employees","Java"
3492,"Bread Financial",51004,1996,"More than 1000 employees","Java"
3494,"Citi",50341,1900,"More than 1000 employees","Java"
3497,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
3533,"Delta Air Lines",50069,1928,"More than 1000 employees","Java"
3534,"Inspire Brands",50384,2018,"More than 1000 employees","Java"
3552,"Adobe",50609,1982,"More than 1000 employees","Java"
3560,"UST Global",51026,1999,"More than 1000 employees","Java"
3561,"VMware",50109,1998,"More than 1000 employees","Java"
3562,"Airbnb",51025,2008,"More than 1000 employees","Java"
3569,"PhonePe",50266,2015,"More than 1000 employees","Java"
1050,"Walmart Global Tech India",50035,1962,"More than 1000 employees","Python"
1416,"Angel One",50043,1987,"More than 1000 employees","Python"
1449,"Angel One",50043,1987,"More than 1000 employees","Python"
1948,"Angel One",50043,1987,"More than 1000 employees","Python"
1065,"Etech Global Services",50045,1997,"More than 1000 employees","Python"
1868,"Advanced Business and Healthcare India",50081,2010,"More than 1000 employees","Python"
1134,"Uber",50101,2009,"More than 1000 employees","Python"
1175,"Atlassian",50127,2002,"More than 1000 employees","Python"
1177,"Flatworld Solutions",50129,2002,"More than 1000 employees","Python"
1630,"Flatworld Solutions",50129,2002,"More than 1000 employees","Python"
1711,"Flatworld Solutions",50129,2002,"More than 1000 employees","Python"
1259,"Mashreq Bank",50144,1967,"More than 1000 employees","Python"
1678,"Wipro",50147,1945,"More than 1000 employees","Python"
2004,"Wipro",50147,1945,"More than 1000 employees","Python"
1227,"Intellect Design Arena",50165,2014,"More than 1000 employees","Python"
1325,"Allen Career Institute",50200,1988,"More than 1000 employees","Python"
1753,"Allen Career Institute",50200,1988,"More than 1000 employees","Python"
1335,"Altimetrik",50224,2012,"More than 1000 employees","Python"
1348,"Nucleus Software",50228,1986,"More than 1000 employees","Python"
1961,"PhonePe",50266,2015,"More than 1000 employees","Python"
1426,"Clear",50268,2011,"More than 1000 employees","Python"
1428,"BYJU'S",50270,2011,"More than 1000 employees","Python"
1429,"Carelon",50271,2022,"More than 1000 employees","Python"
1439,"Carelon Global Solutions",50272,2017,"More than 1000 employees","Python"
1890,"HCL Technologies",50308,1976,"More than 1000 employees","Python"
1518,"Amazon",50316,1994,"More than 1000 employees","Python"
1559,"Blue Yonder",50340,1985,"More than 1000 employees","Python"
1560,"Citi",50341,1900,"More than 1000 employees","Python"
1719,"D. E. Shaw",50405,1988,"More than 1000 employees","Python"
1879,"D. E. Shaw",50405,1988,"More than 1000 employees","Python"
1788,"Applied Materials",50427,1967,"More than 1000 employees","Python"
1789,"Applied Materials",50427,1967,"More than 1000 employees","Python"
2045,"Atlassian",50127,2002,"More than 1000 employees","Python"
2048,"Licious",50532,2015,"More than 1000 employees","Python"
2066,"Atlassian",50127,2002,"More than 1000 employees","Python"
