Job_Id,Location,HR,Company_id,Job_Title
1101,"Bangalore","Omkar Sonawane",50074,"Engineering Manager"
1102,"Bangalore","Omkar Sonawane",50074,"Principal Software Engineer"
1356,"Bangalore","Omkar Sonawane",50069,"Senior Site Reliability Engineer"
1414,"Bangalore","Omkar Sonawane",50110,"Senior Financial Business Analyst"
1415,"Bangalore","Omkar Sonawane",50110,"Senior Financial Business Analyst"
1424,"Bangalore","Omkar Sonawane",50110,"Senior Financial Business Analyst"
1507,"Bangalore","Omkar Sonawane",50311,"Enterprise Data Services Delivery Lead"
1511,"Bangalore","Omkar Sonawane",50069,"Senior Developer Java"
1550,"Bangalore","Omkar Sonawane",50069,"Lead Engineer - Information Security"
1551,"Bangalore","Omkar Sonawane",50069,"Senior Data Engineer"
1563,"Bangalore","Omkar Sonawane",50069,"Senior Cyber Security Engineer"
1590,"Bangalore","Omkar Sonawane",50317,"Principal Fullstack Engineer"
1599,"Bangalore","Omkar Sonawane",50317,"Frontend Developer - React.js"
1600,"Bangalore","Omkar Sonawane",50317,"Principal Fullstack Engineer"
1601,"Bangalore","Omkar Sonawane",50317,"Senior Backend Developer - Python"
1602,"Bangalore","Omkar Sonawane",50317,"Senior Backend Developer - Python"
1609,"Bangalore","Omkar Sonawane",50317,"Python Backend Developer"
1610,"Bangalore","Omkar Sonawane",50317,"Senior Data Engineer"
1619,"Bangalore","Omkar Sonawane",50317,"Python Developer"
1672,"Bangalore","Omkar Sonawane",50069,"Senior Development Engineer"
1738,"Bangalore","Omkar Sonawane",50069,"Lead SDET Engineer"
1824,"Bangalore","Omkar Sonawane",50069,"Senior Developer - Android"
1832,"Bangalore","Omkar Sonawane",50069,"Senior Test Engineer - SDET"
1838,"Bangalore","Omkar Sonawane",50444,"SDE"
1840,"Bangalore","Omkar Sonawane",50069,"Lead Developer"
1843,"Bangalore","Omkar Sonawane",50074,"Senior Network Engineer - Voice"
1969,"Bangalore","Omkar Sonawane",50069,"Lead Developer - UI"
1979,"Bangalore","Omkar Sonawane",50069,"Lead Developer - Full Stack"
2060,"Bangalore","Omkar Sonawane",50311,"Senior Analyst - Data Governance"
2275,"Bangalore","Omkar Sonawane",50069,"Lead Developer - UI"
2342,"Bangalore","Omkar Sonawane",50069,"Lead Developer - API"
2476,"Bangalore","Omkar Sonawane",50069,"Senior Development Engineer"
2539,"Bangalore","Omkar Sonawane",50069,"Lead System Engineer - IT"
2646,"Bangalore","Omkar Sonawane",50074,"Fullstack Developer"
2648,"Bangalore","Omkar Sonawane",50514,"Anaplan Engineer"
2653,"Bangalore","Omkar Sonawane",50074,"Engineering Manager - ASP.NET"
2654,"Bangalore","Omkar Sonawane",50074,"Senior Fullstack Developer"
2668,"Bangalore","Omkar Sonawane",50074,"Technical Product Owner"
2682,"Bangalore","Omkar Sonawane",50069,"Lead Developer - Full Stack"
2683,"Bangalore","Omkar Sonawane",50069,"Senior Developer - Full Stack"
2714,"Bangalore","Omkar Sonawane",50069,"Lead SDET - Automation"
2772,"Bangalore","Omkar Sonawane",50779,"Java Developer"
2773,"Bangalore","Omkar Sonawane",50779,"Senior Backend Developer - Java"
2969,"Bangalore","Omkar Sonawane",50069,"Senior SRE Engineer"
3024,"Bangalore","Omkar Sonawane",50311,"Senior BI Developer - Tableau"
3042,"Bangalore","Omkar Sonawane",50069,"Lead Full Stack Developer"
3043,"Bangalore","Omkar Sonawane",50069,"Senior Full Stack Developer"
3078,"Bangalore","Omkar Sonawane",50888,"Senior Embedded Systems Engineer"
3227,"Bangalore","Omkar Sonawane",50069,"Senior Fullstack Developer"
3240,"Bangalore","Omkar Sonawane",50069,"Advisory Developer - Architect"
3241,"Bangalore","Omkar Sonawane",50069,"Salesforce Developer - Einstein Analytics"
3242,"Bangalore","Omkar Sonawane",50069,"Senior Automation Testing Engineer - Sdet"
3243,"Bangalore","Omkar Sonawane",50069,"Senior Backend Developer - Python"
3247,"Bangalore","Omkar Sonawane",50888,"DevOps Engineer"
3248,"Bangalore","Omkar Sonawane",50888,"Senior Engineer - C / C++"
3249,"Bangalore","Omkar Sonawane",50888,"Senior QA Engineer - Automation Testing"
3250,"Bangalore","Omkar Sonawane",50888,"Software Architect - Embedded C"
3258,"Bangalore","Omkar Sonawane",50888,"Engineering Manager - QA & CI / CD"
3259,"Bangalore","Omkar Sonawane",50888,"Software Developer - AUTOSAR"
3260,"Bangalore","Omkar Sonawane",50888,"Software Engineer - Embedded C & MATLAB"
3267,"Bangalore","Omkar Sonawane",50888,"Senior Software Engineer - ADAS Systems"
3268,"Bangalore","Omkar Sonawane",50888,"Software Engineer - MATLAB"
3289,"Bangalore","Omkar Sonawane",50069,"Lead Full Stack Developer"
3290,"Bangalore","Omkar Sonawane",50069,"Senior DevOps Engineer"
3318,"Bangalore","Omkar Sonawane",50888,"Embedded System Engineer"
3319,"Bangalore","Omkar Sonawane",50888,"Technical Lead - DevOps & QA"
3329,"Bangalore","Omkar Sonawane",50888,"Backend Developer - Embedded C"
3487,"Bangalore","Omkar Sonawane",50074,"Linux Systems Engineer"
3488,"Bangalore","Omkar Sonawane",50074,"SQL Database Administrator"
3496,"Bangalore","Omkar Sonawane",50069,"Senior Developer - Python"
3499,"Bangalore","Omkar Sonawane",50074,"Windows Infrastructure Administrator"
3533,"Bangalore","Omkar Sonawane",50069,"Lead Developer - Full Stack"
1001,"Bangalore","Nikita Sah",50001,"System Security Manager"
1002,"Bangalore","Diksha Jhingran",50002,"Business Development Executive"
1005,"Bangalore","Prathamlok",50004,"Lead Backend Developer"
1007,"Bangalore","Navya C M",50006,"GCP Architect"
1009,"Bangalore","Ankit Sinha",50008,"Senior Software Engineer"
1010,"Bangalore","Ankit Sinha",50008,"Software Engineer"
1012,"Bangalore","Dev Sharma",50010,"Brand Manager"
1013,"Bangalore","Dev Sharma",50010,"Fintech Copywriter"
1014,"Bangalore","Dev Sharma",50010,"Performance Marketing Head"
1015,"Bangalore","Dev Sharma",50010,"Sales Manager"
1016,"Bangalore","Vishakha Tyagi",50011,"Senior Data Engineer"
1017,"Bangalore","Ekta Sachdeva",50012,"MicroStrategy Developer"
1018,"Bangalore","Karthik Aj",50013,"Sales Admin"
1019,"Bangalore","Ankit Sinha",50014,"Lead Backend Developer"
1020,"Bangalore","Ankit Sinha",50008,"Database Architect"
1022,"Bangalore","Shruti Verma",50015,"Flutter Developer - SDE 1"
1023,"Bangalore","Ritika Pokhriyal",50016,"Engineering Manager"
1024,"Bangalore","Hem Chandra Kar",50017,"Senior Software Engineer"
1025,"Bangalore","Hem Chandra Kar",50017,"Senior Software Engineer - Backend"
1028,"Bangalore","Karthik Aj",50013,"Senior Software Engineer"
1030,"Bangalore","Danish Khan",50014,"Lead SDET"
1032,"Bangalore","Aarti Singh",50022,"DevOps Engineer"
1036,"Bangalore","Naveen Kumar",50026,"Frontend Developer"
1037,"Bangalore","Naveen Kumar",50026,"SAP FICO Consultant"
1038,"Bangalore","Naveen Kumar",50026,"SAP HANA Consultant"
1039,"Bangalore","Naveen Kumar",50026,"SAP SD Consultant"
1040,"Bangalore","Preeti Chhetri",50027,"Growth Marketing Manager"
1041,"Bangalore","Pinnacle Consultz",50028,"AWS Machine Learning Engineer - R24"
1042,"Bangalore","Pooja V Chalageri",50029,"Graphic Design - Intern"
1045,"Bangalore","Navya C M",50032,"Data Engineer"
1048,"Bangalore","Preeti Chhetri",50027,"QA Engineer"
1050,"Bangalore","Arun Lazar Jebamani Joseph",50035,"Data Analyst"
1052,"Bangalore","Careers Caw",50037,"Python Developers - Senior"
1062,"Bangalore","Akriti Dwivedi",50043,"SRE / DevOps"
1063,"Bangalore","Akshatha Ks",50044,"Client Support Engineer"
1064,"Bangalore","Akshatha Ks",50044,"Senior Software Engineer"
1066,"Bangalore","Shalini Jakhar",50046,"Engineering Manager"
1067,"Bangalore","Shalini Jakhar",50046,"Senior Full Stack Developer"
1072,"Bangalore","Akshatha Ks",50044,"Software Engineer 2"
1074,"Bangalore","Archana S Menon",50052,"Principal Frontend Engineer"
1075,"Bangalore","Ravi Dubey",50053,"Principle Engineer - Fintech"
1076,"Bangalore","Madhavi Dixit",50054,"DevOps Engineer"
1077,"Bangalore","Selvendran K",50055,"Data Entry Associate"
1078,"Bangalore","Ayushi Srivastava",50056,"UI Developer"
1083,"Bangalore","Astha Singh",50061,"Sales Development Manager"
1084,"Bangalore","Ravi Dubey",50053,"Technical Program Manager - Fintech"
1085,"Bangalore","Ravi Dubey",50062,"Principal Engineer"
1088,"Bangalore","Nikitaa P",50065,"Cloud / DevOps Engineer II"
1089,"Bangalore","Nikitaa P",50065,"Site Reliability Engineer II"
1090,"Bangalore","Lamha Chauhan Sheher",50022,"Backend Developer"
1091,"Bangalore","Silita Simantika",50066,"HR Generalist"
1094,"Bangalore","Rachana Gangadhar",50069,"Lead SDET - Automation"
1095,"Bangalore","Anupam Gandhi",50062,"QA Architect"
1096,"Bangalore","Anupam Gandhi",50062,"QA Head"
1097,"Bangalore","Kalpna Farswan",50070,"VP of Engineering"
1103,"Bangalore","Priyanka A G",50075,"Malware Analysis"
1104,"Bangalore","Abhishek Thakur",50076,"SDE IV - Distributed Systems"
1105,"Bangalore","Reshma Gutha",50077,"React Native Developer"
1106,"Bangalore","Manjari Rastogi",50078,"Senior Associate Java Integrations Developer"
1109,"Bangalore","Sunil Sethi",50081,"Principal Software Engineer (UI Architect)"
